AURUM,NC added,GOLD,Joht Labelling,Paper Labelling,Final Names,Paper Short Name,Organ System,QOF,
plasmacell_neoplasm_birm_cam_v2,x,CPRD_PLASMACELL,Plasma Cell Malignancy,Plasma Cell Malignancy,Plasma Cell Malignancy,malig_plasmacell,Cancers,1,
CPRDAurum_PleuralPlaque,x,CPRD_PLEURAL_PLAQUE,Pleural Plaque,Pleural Plaque,Pleural Plaque,pleural_plaque,Respiratory System Diagnoses,,
CPRDAurum_Pneumothorax_Vet,bigger list,CPRD_PNEUMOTHORAX,Pneumothorax,Pneumothorax,Pneumothorax,pneumothorax,Respiratory System Diagnoses,,
Polycystic_ovarian_syndrome_PCOS_birm_cam_v2,bigger list,CPRD_PCOS,Polycystic Ovarian Syndrome,Polycystic Ovarian Syndrome,Polycystic Ovarian Syndrome,pcos,Endocrine Diagnoses,,
CPRDAurum_PolycythaemiaVera,x,CPRD_PCV,Polycythaemia Vera,Polycythaemia vera,Polycythaemia vera,malig_pcv,Cancers,1,
Polymyalgiarheumatica_MM,x,CPRD_PMR,Polymyalgia Rheumatica,Polymyalgia Rheumatica,Polymyalgia Rheumatica,pmr,Musculoskeletal Diagnoses,,
CPRDAurum_PortalHypertension,x,CPRD_PORTAL_HTN,Portal Hypertension,Portal Hypertension,Portal Hypertension,portal_htn,Digestive System Diagnoses,,
,,CPRD_POST_TERM,Postmature Baby,Post-term Delivery,Post-term Delivery,post_term,Perinatal Conditions,,
PostCoital_Bleeding_Vet,x,CPRD_PCB,Postcoital Bleeding,Postcoital Bleeding,Postcoital Bleeding,pcb,Genitourinary System Diagnoses,,
CPRDAurum_PosteriorUveitis,x,CPRD_POST_UVEITIS,Posterior Uveitis,Posterior Uveitis,Posterior Uveitis,post_uveitis,Eye Diagnoses,,
PMB_Post_Menopausal_Bleeding_Vet,x,CPRD_PMB,Postmenopausal Bleeding,Postmenopausal Bleeding,Postmenopausal Bleeding,pmb,Genitourinary System Diagnoses,,
PretermIncidence_mumpredict,x,CPRD_PREMATURITY,Premature Delivery,Premature Delivery,Premature Delivery,premature,Perinatal Conditions,,
CPRDAurum_PrimaryMalignancy_BiliaryTract,x,CPRD_PRI_BILIARY,Primary Malignancy - Biliary,Primary Malignancy - Biliary,Primary Malignancy - Biliary,malig_pri_biliary,Cancers,1,
CPRDAurum_PrimaryMalignancy_Bladder,x,CPRD_PRI_BLADDER,Primary Malignancy - Bladder,Primary Malignancy - Bladder,Primary Malignancy - Bladder,malig_pri_bladder,Cancers,1,
CPRDAurum_PrimaryMalignancy_Bone,x,CPRD_PRI_BONE,Primary Malignancy - Bone,Primary Malignancy - Bone,Primary Malignancy - Bone,malig_pri_bone,Cancers,1,
CPRDAurum_PrimaryMalignancy_Bowel,x,CPRD_PRI_BOWEL,Primary Malignancy - Bowel,Primary Malignancy - Bowel,Primary Malignancy - Bowel,malig_pri_bowel,Cancers,1,
CPRDAurum_PrimaryMalignancy_Brain,x,CPRD_PRI_BRAIN,Primary Malignancy - Brain,Primary Malignancy - Brain,Primary Malignancy - Brain,malig_pri_brain,Cancers,1,
CPRDAurum_PrimaryMalignancy_Breast,x,CPRD_PRI_BREAST,Primary Malignancy - Breast,Primary Malignancy - Breast,Primary Malignancy - Breast,malig_pri_breast,Cancers,1,
CPRDAurum_PrimaryMalignancy_Cervix,x,CPRD_PRI_CERVICAL,Primary Malignancy - Cervix,Primary Malignancy - Cervix,Primary Malignancy - Cervix,malig_pri_cervix,Cancers,1,
CPRDAurum_PrimaryMalignancy_Kidney,x,CPRD_PRI_KIDNEY,Primary Malignancy - Kidney,Primary Malignancy - Kidney,Primary Malignancy - Kidney,malig_pri_kidney,Cancers,1,
CPRDAurum_PrimaryMalignancy_Liver,x,CPRD_PRI_LIVER,Primary Malignancy - Liver,Primary Malignancy - Liver,Primary Malignancy - Liver,malig_pri_liver,Cancers,1,
CPRDAurum_PrimaryMalignancy_Lung,x,CPRD_PRI_LUNG,Primary Malignancy - Lung,Primary Malignancy - Lung,Primary Malignancy - Lung,malig_pri_lung,Cancers,1,
CPRDAurum_PrimaryMalignancy_Melanoma,x,CPRD_PRI_MELANOMA,Primary Malignancy - Melanoma,Primary Malignancy - Melanoma,Primary Malignancy - Melanoma,malig_pri_melanoma,Cancers,1,
CPRDAurum_PrimaryMalignancy_Mesothelioma,x,CPRD_PRI_MESOTHELIOMA,Primary Malignancy - Mesothelioma,Primary Malignancy - Mesothelioma,Primary Malignancy - Mesothelioma,malig_pri_mesothelioma,Cancers,1,
CPRDAurum_PrimaryMalignancy_MultipleSites,x,CPRD_PRI_MULTINDEP,Primary Malignancy - Multiple Sites,Primary Malignancy - Multiple Sites,Primary Malignancy - Multiple Sites,malig_pri_mult,Cancers,1,
